体重(kg),A,B,C
3,1,1,1
4,1.12,1.14,1.33
6,1.47,1.71,2
8,1.71,2.14,3
10,1.94,2.71,3.67
12,2.18,3.14,4.67
14,2.35,3.57,5.67
16,2.53,4,6.33
18,2.71,4.43,7.33
20,2.88,4.86,8.33
22,3.06,5.29,9.33
24,3.18,5.71,10
26,3.35,6.14,11
28,3.47,6.43,12
30,3.65,6.86,13
32,3.77,7.29,14
34,3.88,7.72,15
36,4,8,16
38,4.18,8.43,17
40,4.29,8.86,18
42,4.41,9.14,19
44,4.53,9.57,20
46,4.65,10,21
48,4.77,10.29,22
50,4.88,10.71,23
52,5,11.29,24.67
54,5,11.29,24.67
56,5.24,12,26.67
58,5.24,12,26.67
60,5.47,12.71,28.67
62,5.47,12.71,28.67
64,5.65,13.43,31
66,5.65,13.43,31
68,5.77,14,32.33